DRUG,atc4
quinidine gluconate,C01BA
strattera,N06BA
atomoxetine,N06BA
duloxetine,N06AX
cymbalta,N06AX
olanzapine,N05AH
melatonin,N05AH
olanzapine (disintegrating tablet),N05AH
olanzapine (disintergrating tablet),N05AH
zymar,N05AH
d5w,N05AH
furosemide,N05AH
lorazepam,N05AH
haloperidol,N05AH
zyprex,N05AH
olanzapi,N05AH
zyprexa zydis,N05AH
olan,N05AH
olanza,N05AH
zydis,N05AH
ola,N05AH
abciximab,B01AC
reopro,B01AC
gemcitabine hcl,L01BC
gemcitabine,L01BC
insulin,A10AB
humalog,A10AB
humalog insulin,A10AB
insulin pump,A10AB
insulin pump (self administering medication),A10AB
insulin ,A10AB
insulin human regular,A10AB
insulin lispro (human),A10AB
ultralente humulin insulin,A10AB
humalog 75/25 pen,A10AB
creon 20,A10AB
insulin lispro desensitization protocol,A10AB
insulin,A10AC
humalog,A10AC
humalog insulin,A10AC
insulin pump,A10AC
insulin pump (self administering medication),A10AC
insulin ,A10AC
insulin human regular,A10AC
insulin lispro (human),A10AC
ultralente humulin insulin,A10AC
humalog 75/25 pen,A10AC
creon 20,A10AC
insulin lispro desensitization protocol,A10AC
insulin,A10AD
humalog,A10AD
humalog insulin,A10AD
insulin pump,A10AD
insulin pump (self administering medication),A10AD
insulin ,A10AD
insulin human regular,A10AD
insulin lispro (human),A10AD
ultralente humulin insulin,A10AD
humalog 75/25 pen,A10AD
creon 20,A10AD
insulin lispro desensitization protocol,A10AD
humalog mix 75-25,A10AB
byetta,A10AB
humalog mix 75-25,A10AC
byetta,A10AC
humalog mix 75-25,A10AD
byetta,A10AD
pemetrexed,L01BA
humulin-r insulin,A10AB
neo*iv*insulin (dilute),A10AB
urecholine,A10AB
regular insulin,A10AB
revlimid,A10AB
humulin r,A10AB
zz ,A10AB
*nf* adefovir (hepsera),A10AB
adefovir dipivoxil,A10AB
insulin regular human,A10AB
mestinon sr,A10AB
insulin human regular (dilute),A10AB
pimecrolimus,A10AB
hydromorphone,A10AB
fenofibrate,A10AB
novolog,A10AB
acetaminophen (liquid),A10AB
brimonidine,A10AB
humulin-r insulin,A10AC
neo*iv*insulin (dilute),A10AC
urecholine,A10AC
regular insulin,A10AC
revlimid,A10AC
humulin r,A10AC
zz ,A10AC
*nf* adefovir (hepsera),A10AC
adefovir dipivoxil,A10AC
insulin regular human,A10AC
mestinon sr,A10AC
insulin human regular (dilute),A10AC
pimecrolimus,A10AC
hydromorphone,A10AC
fenofibrate,A10AC
novolog,A10AC
acetaminophen (liquid),A10AC
brimonidine,A10AC
humulin-r insulin,A10AD
neo*iv*insulin (dilute),A10AD
urecholine,A10AD
regular insulin,A10AD
revlimid,A10AD
humulin r,A10AD
zz ,A10AD
