ndc11,DRUG
63323017302,NEO*IV*Gentamicin
63323038810,Ampicillin Sodium
00088222033,Insulin
00456068801,Benzonatate
61787006204,Dextromethorphan-Guaifenesin (Sugar Free)
00088222033,Lantus
00024159601,Primaquine Phosphate
00002735501,Vancomycin HCl
00074407532,Magnesium Sulfate
58177000104,Potassium Chloride
00004006850,Clonazepam
00054872625,Prednisone
00009337502,Clindamycin
00031867412,Guaifenesin-Codeine Phosphate
00074434113,Levothyroxine Sodium
00045050130,Acetaminophen
00641040025,Heparin
51079001920,Docusate Sodium
00034120081,Senna
00781188313,Ranitidine
00049343041,Fluconazole
00173099156,Acyclovir
63323022110,Vancomycin HCl
00338001702,D5W
00173047001,Lamivudine
61958040101,Tenofovir Disoproxil Fum.
00087665201,Didanosine Chewable Tab
11980002515,Artificial Tears
00338004902,NS
00002831501,Insulin
51079059820,Clindamycin
51079069020,Loperamide HCl
62053053425,Anti-Thymocyte Globulin (Rabbit)
00009338901,Methylprednisolone Na Succ.
00083260104,Pamidronate
51079080120,Metoprolol
00069153041,Amlodipine
00469061711,Tacrolimus
00409610204,Furosemide
00338004304,1/2 NS
00004026001,Mycophenolate Mofetil
60977045101,Metoclopramide
00406051262,Oxycodone-Acetaminophen
00338055002,Heparin Sodium
00338004904,NS
00517260225,Magnesium Sulfate
55390007310,Metoprolol
00172439018,Albuterol
00517391025,Calcium Gluconate
55513053010,Filgrastim
00054872925,Prednisone
00056017275,Warfarin
00469060773,Tacrolimus
51079055271,Bisacodyl
00074176230,Morphine Sulfate
00469065773,Tacrolimus
00056016975,Warfarin
00904107061,Metoclopramide
00088120806,Dolasetron Mesylate
00004003822,Valganciclovir HCl
00056017075,Warfarin
00074792201,D5W
00338268975,Morphine Sulfate
00004029809,Mycophenolate Mofetil
00338008504,D5 1/2NS
00074131230,Hydromorphone
00008084199,Pantoprazole
17714002001,Diphenhydramine HCl
00677178110,Acetaminophen
63739008901,Docusate Sodium
00472500360,Nystatin Oral Suspension
00093008801,Sulfameth/Trimethoprim SS
64253033335,Heparin Flush CVL  (100 units/ml)
00641039425,NEO*IV*Gentamicin
63323038810,NEO*IV*Ampicillin Sodium
00074131702,Phenytoin Sodium
00074158302,NS (Glass Bottle)
67286081203,*NF* Nicardipine HCl IV
00045152510,Levofloxacin
00074158411,NS (Glass Bottle)
00074131701,Phenytoin Sodium
00338001703,D5W
51079012620,Metronidazole
00338001731,D5W
00074212202,Enalaprilat
00085036207,Labetalol HCl
00045152010,Levofloxacin
54868277600,Phenytoin
00300304613,Lansoprazole Oral Suspension
51079007520,Hydralazine HCl
60976034647,Labetalol HCl
51079007620,Hydralazine HCl
00517090125,Hydralazine HCl
00074771503,Mannitol
00256015201,Sodium Chloride Nasal
00074177825,Metoprolol
00031670972,Metoclopramide
00074144304,Norepinephrine
00456066270,Potassium Chloride
00074302401,Nitroprusside Sodium
00338070541,Potassium Chloride
